CODE,Age,Gender,Annual_Income,Family_Type,Devices_Owned_Raw,Daily_Screen_Time,Daily_Study_Hours,Physical_1,Physical_2,Physical_3,Physical_4,Psychological_1,Psychological_2,Psychological_3,Psychological_4,Academic_1,Academic_2,Academic_3,Academic_4,Social_1,Social_2,Social_3,Social_4,Habit_1,Habit_2,Habit_3,Habit_4
91,2,1,2,2,1,3,4,4,2,4,2,2,4,2,1,1,2,1,3,1,2,1.0,2,1,1,2,2
92,2,1,1,1,1,1,4,4,2,4,2,2,3,2,1,1,2,1,3,1,2,,2,1,1,2,2
93,2,2,2,1,1,2,3,4,2,3,2,3,3,2,3,1,1,3,5,4,1,1.0,3,2,3,1,4
94,2,2,2,2,1,2,3,4,2,3,1,3,3,3,3,4,3,1,1,4,4,1.0,1,2,2,4,1
95,2,2,2,3,2,2,4,1,2,4,2,2,4,2,4,1,2,2,4,4,2,4.0,2,1,2,2,1
96,2,2,4,1,1,3,3,5,4,3,5,4,4,2,4,5,2,4,4,2,4,2.0,2,2,2,2,2
97,2,2,2,1,2,1,3,4,4,3,5,3,4,4,5,5,5,3,5,2,2,4.0,3,2,4,4,3
98,2,2,3,2,2,3,3,5,2,1,5,4,4,1,1,5,1,1,3,3,2,1.0,2,5,4,4,2
99,2,2,2,2,1,1,3,4,2,1,2,2,5,2,4,3,5,2,2,2,2,2.0,2,2,2,4,2
100,2,2,2,1,1,2,3,4,2,1,2,2,3,1,4,3,2,2,5,2,2,4.0,4,2,4,4,2
